year,month,day,hour,flow_cfs,Source
1990,6,13,6,150,USGS_13105000
1990,6,13,12,149,USGS_13105000
1990,6,13,18,146,USGS_13105000
1990,6,14,0,142,USGS_13105000
1990,6,14,6,146,USGS_13105000
1990,6,14,12,147,USGS_13105000
1990,6,14,18,147,USGS_13105000
1990,6,15,0,147,USGS_13105000
1990,6,15,6,160,USGS_13105000
1990,6,15,12,173,USGS_13105000
1990,6,15,18,170,USGS_13105000
1990,6,16,0,170,USGS_13105000
1990,6,16,6,168,USGS_13105000
1990,6,16,12,167,USGS_13105000
1990,6,16,18,155,USGS_13105000
1990,6,17,0,146,USGS_13105000
1990,6,17,6,144,USGS_13105000
1990,6,17,12,142,USGS_13105000
1990,6,17,18,136,USGS_13105000
1990,6,18,0,130,USGS_13105000
1990,6,18,6,127,USGS_13105000
1990,6,18,12,124,USGS_13105000
1990,6,18,18,119,USGS_13105000
1990,6,19,0,112,USGS_13105000
1990,6,19,6,106,USGS_13105000
1990,6,19,12,102,USGS_13105000
1990,6,19,18,97.1,USGS_13105000
1990,6,20,0,93.2,USGS_13105000
1990,6,20,6,93.2,USGS_13105000
1990,6,20,12,94.5,USGS_13105000
1990,6,20,18,89.6,USGS_13105000
1990,6,21,0,87.2,USGS_13105000
1990,6,21,6,87.2,USGS_13105000
1990,6,21,12,86,USGS_13105000
1990,6,21,18,81.5,USGS_13105000
1990,6,22,0,80.4,USGS_13105000
1990,6,22,6,80.4,USGS_13105000
1990,6,22,12,84.9,USGS_13105000
1990,6,22,18,80.4,USGS_13105000
1990,6,23,0,77.1,USGS_13105000
1990,6,23,6,76,USGS_13105000
1990,6,23,12,77.1,USGS_13105000
1990,6,23,18,74.9,USGS_13105000
1990,6,24,0,73.9,USGS_13105000
1990,6,24,6,74.9,USGS_13105000
1990,6,24,12,74.9,USGS_13105000
1990,6,24,18,70.8,USGS_13105000
1990,6,25,0,66.8,USGS_13105000
1990,6,25,6,67.8,USGS_13105000
1990,6,25,12,66.8,USGS_13105000
1990,6,25,18,64.9,USGS_13105000
1990,6,26,0,61.1,USGS_13105000
1990,6,26,6,58.4,USGS_13105000
1990,6,26,12,56.7,USGS_13105000
1990,6,26,18,52.4,USGS_13105000
1990,6,27,0,51.6,USGS_13105000
1990,6,27,6,53.2,USGS_13105000
1990,6,27,12,52.4,USGS_13105000
1990,6,27,18,49.2,USGS_13105000
1990,6,28,0,50,USGS_13105000
1990,6,28,6,50.8,USGS_13105000
1990,6,28,12,50.8,USGS_13105000
1990,6,28,18,46.9,USGS_13105000
1990,6,29,0,46.9,USGS_13105000
1990,6,29,6,46.1,USGS_13105000
1990,6,29,12,46.1,USGS_13105000
1990,6,29,18,42.5,USGS_13105000
1990,6,30,0,41.7,USGS_13105000
1990,6,30,6,42.5,USGS_13105000
1990,6,30,12,42.5,USGS_13105000
1990,6,30,18,39,USGS_13105000
1990,7,1,0,37.7,USGS_13105000
1990,7,1,6,39,USGS_13105000
1990,7,1,12,39,USGS_13105000
1990,7,1,18,36.4,USGS_13105000
1990,7,2,0,36.4,USGS_13105000
1990,7,2,6,37.7,USGS_13105000
1990,7,2,12,37.7,USGS_13105000
1990,7,2,18,36.4,USGS_13105000
1990,7,3,0,36.4,USGS_13105000
1990,7,3,6,35.7,USGS_13105000
1990,7,3,12,35.7,USGS_13105000
1990,7,3,18,34.5,USGS_13105000
1990,7,4,0,34.5,USGS_13105000
1990,7,4,6,35.7,USGS_13105000
1990,7,4,12,35.7,USGS_13105000
